drugbankid,atccodes,targets,name
DB00001,B01AE02,Prothrombin,Lepirudin
BTD00024,B01AE02,Prothrombin,Lepirudin
BIOD00024,B01AE02,Prothrombin,Lepirudin
DB00002,L01XC06,Epidermal growth factor receptor,Cetuximab
DB00002,L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-B,Cetuximab
DB00002,L01XC06,Complement C1q subcomponent subunit A,Cetuximab
DB00002,L01XC06,Complement C1q subcomponent subunit B,Cetuximab
DB00002,L01XC06,Complement C1q subcomponent subunit C,Cetuximab
DB00002,L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-A,Cetuximab
DB00002,L01XC06,High affinity immunoglobulin gamma Fc receptor I,Cetuximab
DB00002,L01XC06,Low affinity immunoglobulin gamma Fc region receptor II-a,Cetuximab
BTD00071,L01XC06,Epidermal growth factor receptor,Cetuximab
BTD00071,L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-B,Cetuximab
BTD00071,L01XC06,Complement C1q subcomponent subunit A,Cetuximab
BTD00071,L01XC06,Complement C1q subcomponent subunit B,Cetuximab
BTD00071,L01XC06,Complement C1q subcomponent subunit C,Cetuximab
BTD00071,L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-A,Cetuximab
BTD00071,L01XC06,High affinity immunoglobulin gamma Fc receptor I,Cetuximab
BTD00071,L01XC06,Low affinity immunoglobulin gamma Fc region receptor II-a,Cetuximab
BIOD00071,L01XC06,Epidermal growth factor receptor,Cetuximab
BIOD00071,L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-B,Cetuximab
BIOD00071,L01XC06,Complement C1q subcomponent subunit A,Cetuximab
BIOD00071,L01XC06,Complement C1q subcomponent subunit B,Cetuximab
BIOD00071,L01XC06,Complement C1q subcomponent subunit C,Cetuximab
BIOD00071,L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-A,Cetuximab
BIOD00071,L01XC06,High affinity immunoglobulin gamma Fc receptor I,Cetuximab
BIOD00071,L01XC06,Low affinity immunoglobulin gamma Fc region receptor II-a,Cetuximab
DB00003,R05CB13,DNA,Dornase alfa
BTD00001,R05CB13,DNA,Dornase alfa
BIOD00001,R05CB13,DNA,Dornase alfa
DB00004,L01XX29,Interleukin-2 receptor subunit alpha,Denileukin diftitox
DB00004,L01XX29,Interleukin-2 receptor subunit beta,Denileukin diftitox
DB00004,L01XX29,Cytokine receptor common subunit gamma,Denileukin diftitox
BTD00084,L01XX29,Interleukin-2 receptor subunit alpha,Denileukin diftitox
BTD00084,L01XX29,Interleukin-2 receptor subunit beta,Denileukin diftitox
BTD00084,L01XX29,Cytokine receptor common subunit gamma,Denileukin diftitox
BIOD00084,L01XX29,Interleukin-2 receptor subunit alpha,Denileukin diftitox
BIOD00084,L01XX29,Interleukin-2 receptor subunit beta,Denileukin diftitox
BIOD00084,L01XX29,Cytokine receptor common subunit gamma,Denileukin diftitox
DB00005,L04AB01,Tumor necrosis factor,Etanercept
DB00005,L04AB01,High affinity immunoglobulin gamma Fc receptor I,Etanercept
DB00005,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-a,Etanercept
DB00005,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-b,Etanercept
DB00005,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-c,Etanercept
DB00005,L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-A,Etanercept
DB00005,L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-B,Etanercept
DB00005,L04AB01,Lymphotoxin-alpha,Etanercept
DB00005,L04AB01,Complement component 1q (C1q),Etanercept
BTD00052,L04AB01,Tumor necrosis factor,Etanercept
BTD00052,L04AB01,High affinity immunoglobulin gamma Fc receptor I,Etanercept
BTD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-a,Etanercept
BTD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-b,Etanercept
BTD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-c,Etanercept
BTD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-A,Etanercept
BTD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-B,Etanercept
BTD00052,L04AB01,Lymphotoxin-alpha,Etanercept
BTD00052,L04AB01,Complement component 1q (C1q),Etanercept
BIOD00052,L04AB01,Tumor necrosis factor,Etanercept
BIOD00052,L04AB01,High affinity immunoglobulin gamma Fc receptor I,Etanercept
BIOD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-a,Etanercept
BIOD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-b,Etanercept
BIOD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-c,Etanercept
BIOD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-A,Etanercept
BIOD00052,L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-B,Etanercept
BIOD00052,L04AB01,Lymphotoxin-alpha,Etanercept
BIOD00052,L04AB01,Complement component 1q (C1q),Etanercept
DB00006,B01AE06,Prothrombin,Bivalirudin
BTD00076,B01AE06,Prothrombin,Bivalirudin
EXPT03302,B01AE06,Prothrombin,Bivalirudin
BIOD00076,B01AE06,Prothrombin,Bivalirudin
DB02351,B01AE06,Prothrombin,Bivalirudin
DB00007,L02AE51,Gonadotropin-releasing hormone receptor,Leuprolide
DB00007,L02AE02,Gonadotropin-releasing hormone receptor,Leuprolide
BTD00009,L02AE51,Gonadotropin-releasing hormone receptor,Leuprolide
BTD00009,L02AE02,Gonadotropin-releasing hormone receptor,Leuprolide
BIOD00009,L02AE51,Gonadotropin-releasing hormone receptor,Leuprolide
BIOD00009,L02AE02,Gonadotropin-releasing hormone receptor,Leuprolide
DB00008,L03AB11,Interferon alpha/beta receptor 2,Peginterferon alfa-2a
DB00008,L03AB11,Interferon alpha/beta receptor 1,Peginterferon alfa-2a
DB00008,L03AB61,Interferon alpha/beta receptor 2,Peginterferon alfa-2a
DB00008,L03AB61,Interferon alpha/beta receptor 1,Peginterferon alfa-2a
BTD00043,L03AB11,Interferon alpha/beta receptor 2,Peginterferon alfa-2a
BTD00043,L03AB11,Interferon alpha/beta receptor 1,Peginterferon alfa-2a
BTD00043,L03AB61,Interferon alpha/beta receptor 2,Peginterferon alfa-2a
BTD00043,L03AB61,Interferon alpha/beta receptor 1,Peginterferon alfa-2a
BIOD00043,L03AB11,Interferon alpha/beta receptor 2,Peginterferon alfa-2a
BIOD00043,L03AB11,Interferon alpha/beta receptor 1,Peginterferon alfa-2a
BIOD00043,L03AB61,Interferon alpha/beta receptor 2,Peginterferon alfa-2a
BIOD00043,L03AB61,Interferon alpha/beta receptor 1,Peginterferon alfa-2a
DB00009,B01AD02,Plasminogen,Alteplase
DB00009,B01AD02,Fibrinogen alpha chain,Alteplase
DB00009,B01AD02,Urokinase plasminogen activator surface receptor,Alteplase
DB00009,B01AD02,Plasminogen activator inhibitor 1,Alteplase
DB00009,S01XA13,Plasminogen,Alteplase
DB00009,S01XA13,Fibrinogen alpha chain,Alteplase
DB00009,S01XA13,Urokinase plasminogen activator surface receptor,Alteplase
DB00009,S01XA13,Plasminogen activator inhibitor 1,Alteplase
BTD00050,B01AD02,Plasminogen,Alteplase
BTD00050,B01AD02,Fibrinogen alpha chain,Alteplase
BTD00050,B01AD02,Urokinase plasminogen activator surface receptor,Alteplase
BTD00050,B01AD02,Plasminogen activator inhibitor 1,Alteplase
BTD00050,S01XA13,Plasminogen,Alteplase
BTD00050,S01XA13,Fibrinogen alpha chain,Alteplase
BTD00050,S01XA13,Urokinase plasminogen activator surface receptor,Alteplase
BTD00050,S01XA13,Plasminogen activator inhibitor 1,Alteplase
BIOD00050,B01AD02,Plasminogen,Alteplase
BIOD00050,B01AD02,Fibrinogen alpha chain,Alteplase
BIOD00050,B01AD02,Urokinase plasminogen activator surface receptor,Alteplase
BIOD00050,B01AD02,Plasminogen activator inhibitor 1,Alteplase
BIOD00050,S01XA13,Plasminogen,Alteplase
BIOD00050,S01XA13,Fibrinogen alpha chain,Alteplase
BIOD00050,S01XA13,Urokinase plasminogen activator surface receptor,Alteplase
BIOD00050,S01XA13,Plasminogen activator inhibitor 1,Alteplase
DB00010,V04CD03,Growth hormone-releasing hormone receptor,Sermorelin
DB00010,H01AC04,Growth hormone-releasing hormone receptor,Sermorelin
BTD00033,V04CD03,Growth hormone-releasing hormone receptor,Sermorelin
BTD00033,H01AC04,Growth hormone-releasing hormone receptor,Sermorelin
BIOD00033,V04CD03,Growth hormone-releasing hormone receptor,Sermorelin
BIOD00033,H01AC04,Growth hormone-releasing hormone receptor,Sermorelin
DB00011,L03AB06,Interferon alpha/beta receptor 1,Interferon alfa-n1
DB00011,L03AB06,Interferon alpha/beta receptor 2,Interferon alfa-n1
BTD00096,L03AB06,Interferon alpha/beta receptor 1,Interferon alfa-n1
BTD00096,L03AB06,Interferon alpha/beta receptor 2,Interferon alfa-n1
BIOD00096,L03AB06,Interferon alpha/beta receptor 1,Interferon alfa-n1
BIOD00096,L03AB06,Interferon alpha/beta receptor 2,Interferon alfa-n1
DB00084,L03AB06,Interferon alpha/beta receptor 1,Interferon alfa-n1
DB00084,L03AB06,Interferon alpha/beta receptor 2,Interferon alfa-n1
DB00012,B03XA02,Erythropoietin receptor,Darbepoetin alfa
BTD00032,B03XA02,Erythropoietin receptor,Darbepoetin alfa
BIOD00032,B03XA02,Erythropoietin receptor,Darbepoetin alfa
DB00013,B01AD04,Plasminogen,Urokinase
DB00013,B01AD04,Urokinase plasminogen activator surface receptor,Urokinase
DB00013,B01AD04,Plasminogen activator inhibitor 1,Urokinase
DB00013,B01AD04,Plasminogen activator inhibitor 2,Urokinase
DB00013,B01AD04,Plasma serine protease inhibitor,Urokinase
DB00013,B01AD04,Low-density lipoprotein receptor-related protein 2,Urokinase
DB00013,B01AD04,Suppressor of tumorigenicity 14 protein,Urokinase
DB00013,B01AD04,Nidogen-1,Urokinase
BTD00030,B01AD04,Plasminogen,Urokinase
BTD00030,B01AD04,Urokinase plasminogen activator surface receptor,Urokinase
BTD00030,B01AD04,Plasminogen activator inhibitor 1,Urokinase
BTD00030,B01AD04,Plasminogen activator inhibitor 2,Urokinase
BTD00030,B01AD04,Plasma serine protease inhibitor,Urokinase
BTD00030,B01AD04,Low-density lipoprotein receptor-related protein 2,Urokinase
BTD00030,B01AD04,Suppressor of tumorigenicity 14 protein,Urokinase
BTD00030,B01AD04,Nidogen-1,Urokinase
BIOD00030,B01AD04,Plasminogen,Urokinase
BIOD00030,B01AD04,Urokinase plasminogen activator surface receptor,Urokinase
BIOD00030,B01AD04,Plasminogen activator inhibitor 1,Urokinase
BIOD00030,B01AD04,Plasminogen activator inhibitor 2,Urokinase
BIOD00030,B01AD04,Plasma serine protease inhibitor,Urokinase
BIOD00030,B01AD04,Low-density lipoprotein receptor-related protein 2,Urokinase
BIOD00030,B01AD04,Suppressor of tumorigenicity 14 protein,Urokinase
BIOD00030,B01AD04,Nidogen-1,Urokinase
DB00014,L02AE03,Lutropin-choriogonadotropic hormone receptor,Goserelin
DB00014,L02AE03,Gonadotropin-releasing hormone receptor,Goserelin
BTD00113,L02AE03,Lutropin-choriogonadotropic hormone receptor,Goserelin
BTD00113,L02AE03,Gonadotropin-releasing hormone receptor,Goserelin
BIOD00113,L02AE03,Lutropin-choriogonadotropic hormone receptor,Goserelin
BIOD00113,L02AE03,Gonadotropin-releasing hormone receptor,Goserelin
DB00015,B01AD07,Plasminogen,Reteplase
DB00015,B01AD07,Fibrinogen alpha chain,Reteplase
DB00015,B01AD07,Plasminogen activator inhibitor 1,Reteplase
BTD00013,B01AD07,Plasminogen,Reteplase
BTD00013,B01AD07,Fibrinogen alpha chain,Reteplase
BTD00013,B01AD07,Plasminogen activator inhibitor 1,Reteplase
BIOD00013,B01AD07,Plasminogen,Reteplase
BIOD00013,B01AD07,Fibrinogen alpha chain,Reteplase
BIOD00013,B01AD07,Plasminogen activator inhibitor 1,Reteplase
DB00016,B03XA01,Erythropoietin receptor,Erythropoietin
BTD00103,B03XA01,Erythropoietin receptor,Erythropoietin
BIOD00103,B03XA01,Erythropoietin receptor,Erythropoietin
DB08923,B03XA01,Erythropoietin receptor,Erythropoietin
DB00017,H05BA01,Calcitonin receptor,Salmon calcitonin
BTD00025,H05BA01,Calcitonin receptor,Salmon calcitonin
BIOD00025,H05BA01,Calcitonin receptor,Salmon calcitonin
DB00019,L03AA13,Granulocyte colony-stimulating factor receptor,Pegfilgrastim
BTD00094,L03AA13,Granulocyte colony-stimulating factor receptor,Pegfilgrastim
BIOD00094,L03AA13,Granulocyte colony-stimulating factor receptor,Pegfilgrastim
DB00020,L03AA09,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Sargramostim
DB00020,L03AA09,Interleukin-3 receptor subunit alpha,Sargramostim
DB00020,L03AA09,Cytokine receptor common subunit beta,Sargramostim
DB00020,L03AA09,Syndecan-2,Sargramostim
DB00020,L03AA09,Bone marrow proteoglycan,Sargramostim
BTD00035,L03AA09,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Sargramostim
BTD00035,L03AA09,Interleukin-3 receptor subunit alpha,Sargramostim
BTD00035,L03AA09,Cytokine receptor common subunit beta,Sargramostim
BTD00035,L03AA09,Syndecan-2,Sargramostim
BTD00035,L03AA09,Bone marrow proteoglycan,Sargramostim
BIOD00035,L03AA09,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,Sargramostim
BIOD00035,L03AA09,Interleukin-3 receptor subunit alpha,Sargramostim
BIOD00035,L03AA09,Cytokine receptor common subunit beta,Sargramostim
BIOD00035,L03AA09,Syndecan-2,Sargramostim
BIOD00035,L03AA09,Bone marrow proteoglycan,Sargramostim
DB00022,L03AB10,Interferon alpha/beta receptor 1,Peginterferon alfa-2b
DB00022,L03AB10,Interferon alpha/beta receptor 2,Peginterferon alfa-2b
DB00022,L03AB60,Interferon alpha/beta receptor 1,Peginterferon alfa-2b
DB00022,L03AB60,Interferon alpha/beta receptor 2,Peginterferon alfa-2b
BTD00048,L03AB10,Interferon alpha/beta receptor 1,Peginterferon alfa-2b
BTD00048,L03AB10,Interferon alpha/beta receptor 2,Peginterferon alfa-2b
BTD00048,L03AB60,Interferon alpha/beta receptor 1,Peginterferon alfa-2b
BTD00048,L03AB60,Interferon alpha/beta receptor 2,Peginterferon alfa-2b
BIOD00048,L03AB10,Interferon alpha/beta receptor 1,Peginterferon alfa-2b
BIOD00048,L03AB10,Interferon alpha/beta receptor 2,Peginterferon alfa-2b
BIOD00048,L03AB60,Interferon alpha/beta receptor 1,Peginterferon alfa-2b
BIOD00048,L03AB60,Interferon alpha/beta receptor 2,Peginterferon alfa-2b
DB00023,L01XX02,L-asparagine,Asparaginase Escherichia coli
BTD00011,L01XX02,L-asparagine,Asparaginase Escherichia coli
BIOD00011,L01XX02,L-asparagine,Asparaginase Escherichia coli
DB00024,H01AB01,Thyrotropin receptor,Thyrotropin alfa
BTD00020,H01AB01,Thyrotropin receptor,Thyrotropin alfa
BIOD00020,H01AB01,Thyrotropin receptor,Thyrotropin alfa
DB00025,B02BD02,Coagulation factor X,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,Coagulation factor IX,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,von Willebrand factor,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,"Phytanoyl-CoA dioxygenase, peroxisomal","Antihemophilic factor, human recombinant"
DB00025,B02BD02,Asialoglycoprotein receptor 2,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,78 kDa glucose-regulated protein,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,Calreticulin,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,Calnexin,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,Protein ERGIC-53,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,Prolow-density lipoprotein receptor-related protein 1,"Antihemophilic factor, human recombinant"
DB00025,B02BD02,Multiple coagulation factor deficiency protein 2,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Coagulation factor X,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Coagulation factor IX,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,von Willebrand factor,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,"Phytanoyl-CoA dioxygenase, peroxisomal","Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Asialoglycoprotein receptor 2,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,78 kDa glucose-regulated protein,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Calreticulin,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Calnexin,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Protein ERGIC-53,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Prolow-density lipoprotein receptor-related protein 1,"Antihemophilic factor, human recombinant"
BTD00029,B02BD02,Multiple coagulation factor deficiency protein 2,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,Coagulation factor X,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,Coagulation factor IX,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,von Willebrand factor,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,"Phytanoyl-CoA dioxygenase, peroxisomal","Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,Asialoglycoprotein receptor 2,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,78 kDa glucose-regulated protein,"Antihemophilic factor, human recombinant"
