atccode,name
B01AE02,Lepirudin
L01XC06,Cetuximab
R05CB13,Dornase alfa
L01XX29,Denileukin diftitox
L04AB01,Etanercept
B01AE06,Bivalirudin
L02AE51,Leuprolide
L02AE02,Leuprolide
L03AB11,Peginterferon alfa-2a
L03AB61,Peginterferon alfa-2a
B01AD02,Alteplase
S01XA13,Alteplase
V04CD03,Sermorelin
H01AC04,Sermorelin
L03AB06,Interferon alfa-n1
B03XA02,Darbepoetin alfa
B01AD04,Urokinase
L02AE03,Goserelin
B01AD07,Reteplase
B03XA01,Erythropoietin
H05BA01,Salmon calcitonin
L03AA13,Pegfilgrastim
L03AA09,Sargramostim
L03AB10,Peginterferon alfa-2b
L03AB60,Peginterferon alfa-2b
L01XX02,Asparaginase Escherichia coli
H01AB01,Thyrotropin alfa
B02BD02,"Antihemophilic factor, human recombinant"
L04AC03,Anakinra
R02AB30,Gramicidin D
B01AD03,Anistreplase
A10AC01,Insulin human
A10AE01,Insulin human
A10AB01,Insulin human
A10AD01,Insulin human
A10AF01,Insulin human
B01AD11,Tenecteplase
G03GA02,Menotropins
G03GA03,Menotropins
L03AB04,Interferon alfa-2a
H01BA02,Desmopressin
B02BD08,Coagulation factor VIIa Recombinant Human
L03AC02,Oprelvekin
V03AF08,Palifermin
H04AA01,Glucagon
L03AC01,Aldesleukin
M03AX01,Botulinum toxin type B
R03DX05,Omalizumab
G03GA07,Lutropin alfa
A10AC04,Insulin lispro
A10AB04,Insulin lispro
A10AD04,Insulin lispro
A10AE54,Insulin glargine
A10AE04,Insulin glargine
D03BA02,Collagenase clostridium histolyticum
M09AB02,Collagenase clostridium histolyticum
D03BA52,Collagenase clostridium histolyticum
V03AF07,Rasburicase
M04AX01,Rasburicase
H01CC02,Cetrorelix
L04AB04,Adalimumab
H01AC01,Somatotropin
A16AB02,Imiglucerase
B01AC13,Abciximab
B01AD10,Drotrecogin alfa
L01XC05,Gemtuzumab ozogamicin
V09IB02,Indium In-111 satumomab pendetide
B02AB02,Alpha-1-proteinase inhibitor
L01XX24,Pegaspargase
L03AB07,Interferon beta-1a
L03AX04,Pegademase
B05AA01,Albumin human
B01AC16,Eptifibatide
L04AB02,Infliximab
G03GA06,Follitropin
G03GA10,Follitropin
G03GA05,Follitropin
L03AB08,Interferon beta-1b
L03AB09,Interferon alfacon-1
A10AC03,Insulin pork
A10AB03,Insulin pork
A10AE03,Insulin pork
A10AD03,Insulin pork
L01XC03,Trastuzumab
L01XC02,Rituximab
L04AC02,Basiliximab
L04AA02,Muromonab
V03AB24,Digoxin Immune Fab (Ovine)
V10XX02,Ibritumomab tiuxetan
J01XX09,Daptomycin
V10XA53,Tositumomab
H01AX01,Pegvisomant
M03AX01,Botulinum toxin type A
A09AA02,Pancrelipase
B01AD01,Streptokinase
B06AA55,Streptokinase
L04AA34,Alemtuzumab
A16AB01,Alglucerase
V09IB04,Capromab pendetide
A16AB05,Laronidase
L04AD01,Cyclosporine
S01XA18,Cyclosporine
L04AA15,Alefacept
G03GA04,Urofollitropin
L04AA21,Efalizumab
G03GA08,Choriogonadotropin alfa
L04AA04,Antithymocyte immunoglobulin (rabbit)
L03AA02,Filgrastim
D03AX06,Becaplermin
A01AD08,Becaplermin
A16AB04,Agalsidase beta
H01CB02,Octreotide
L03AB05,Interferon alfa-2b
L02BX01,Abarelix
G02AC01,Oxytocin
H01BB02,Oxytocin
L04AA23,Natalizumab
J05AX07,Enfuvirtide
J06BB16,Palivizumab
L04AC01,Daclizumab
L01XC07,Bevacizumab
V09IA06,Technetium Tc-99m arcitumomab
A11HA06,Pyridoxal phosphate
B03BA01,Cyanocobalamin
B03AE01,Cyanocobalamin
B03BA51,Cyanocobalamin
A16AA02,Ademetionine
A11HA05,Biotin
V03AF11,Lysine
B05XB03,Lysine
V03AF11,Arginine
B05XB01,Arginine
G01AD03,Ascorbic acid
A11GA01,Ascorbic acid
A11GB01,Ascorbic acid
S01XA15,Ascorbic acid
A05BA06,Ornithine
A16AA03,L-Glutamine
V03AB26,Methionine
D05AX03,Calcitriol
A11CC04,Calcitriol
A11HA04,Riboflavin
S01XA26,Riboflavin
A09AB01,Glutamic acid
V03AB32,Glutathione
B05CX03,Glycine
A11CC06,Calcifediol
N06AX02,Tryptophan
A11DA01,Thiamine
A11CC01,Ergocalciferol
B03AE02,Folic acid
V04CX02,Folic acid
B03BB01,Folic acid
B03AE01,Folic acid
B03BB51,Folic acid
S01XA02,Vitamin A
V04CB01,Vitamin A
D10AD02,Vitamin A
R01AX02,Vitamin A
A11CA01,Vitamin A
J04AM08,Pyridoxine
A11HA02,Pyridoxine
A16AX01,Lipoic acid
M05BB09,Cholecalciferol
M05BX53,Cholecalciferol
M05BB07,Cholecalciferol
M05BB08,Cholecalciferol
A11CC55,Cholecalciferol
M05BB05,Cholecalciferol
A11CC05,Cholecalciferol
M05BB03,Cholecalciferol
M05BB04,Cholecalciferol
B02BA02,Menadione
C10AA03,Pravastatin
C10BA03,Pravastatin
C10BX02,Pravastatin
N06AB08,Fluvoxamine
C09DX05,Valsartan
C10BX10,Valsartan
C09DA03,Valsartan
C09CA03,Valsartan
C09DX02,Valsartan
C09DX01,Valsartan
C09DB08,Valsartan
C09DB01,Valsartan
C09DX04,Valsartan
C09BX03,Ramipril
C10BX04,Ramipril
C10BX17,Ramipril
C09BB07,Ramipril
C10BX06,Ramipril
C09BB05,Ramipril
C09BA05,Ramipril
C09AA05,Ramipril
L01XX10,Masoprocol
R01AD04,Flunisolide
R03BA03,Flunisolide
M03BX01,Baclofen
N06BA01,Amphetamine
V04CG04,Pentagastrin
N07BA01,Nicotine
N07AX03,Cevimeline
N05BA56,Lorazepam
N05BA06,Lorazepam
C07AB09,Esmolol
L01XX32,Bortezomib
N05CM08,Ethchlorvynol
A08AA01,Phentermine
N02AJ13,Tramadol
N02AJ14,Tramadol
N02AX02,Tramadol
J05AB03,Vidarabine
S01AD06,Vidarabine
S01ED02,Betaxolol
C07AB05,Betaxolol
S01ED52,Betaxolol
J01RA07,Fluconazole
J02AC01,Fluconazole
D01AC15,Fluconazole
A10BG01,Troglitazone
J05AH02,Oseltamivir
J01FA01,Erythromycin
D10AF02,Erythromycin
S01AA17,Erythromycin
D10AF52,Erythromycin
B03BA53,Hydroxocobalamin
V03AB33,Hydroxocobalamin
B03BA03,Hydroxocobalamin
R03DA20,Caffeine
V04CG30,Caffeine
N06BC01,Caffeine
M03AB01,Succinylcholine
G01AE10,Sildenafil
G04BE03,Sildenafil
C01BD04,Dofetilide
P01BD01,Pyrimethamine
P01BD51,Pyrimethamine
P01BF04,Pyrimethamine
C02LA51,Reserpine
C02AA02,Reserpine
