atccode,target
B01AE02,Prothrombin
L01XC06,Epidermal growth factor receptor
L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-B
L01XC06,Complement C1q subcomponent subunit A
L01XC06,Complement C1q subcomponent subunit B
L01XC06,Complement C1q subcomponent subunit C
L01XC06,Low affinity immunoglobulin gamma Fc region receptor III-A
L01XC06,High affinity immunoglobulin gamma Fc receptor I
L01XC06,Low affinity immunoglobulin gamma Fc region receptor II-a
R05CB13,DNA
L01XX29,Interleukin-2 receptor subunit alpha
L01XX29,Interleukin-2 receptor subunit beta
L01XX29,Cytokine receptor common subunit gamma
L04AB01,Tumor necrosis factor
L04AB01,High affinity immunoglobulin gamma Fc receptor I
L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-a
L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-b
L04AB01,Low affinity immunoglobulin gamma Fc region receptor II-c
L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-A
L04AB01,Low affinity immunoglobulin gamma Fc region receptor III-B
L04AB01,Lymphotoxin-alpha
L04AB01,Complement component 1q (C1q)
B01AE06,Prothrombin
L02AE51,Gonadotropin-releasing hormone receptor
L02AE02,Gonadotropin-releasing hormone receptor
L03AB11,Interferon alpha/beta receptor 2
L03AB11,Interferon alpha/beta receptor 1
L03AB61,Interferon alpha/beta receptor 2
L03AB61,Interferon alpha/beta receptor 1
B01AD02,Plasminogen
B01AD02,Fibrinogen alpha chain
B01AD02,Urokinase plasminogen activator surface receptor
B01AD02,Plasminogen activator inhibitor 1
S01XA13,Plasminogen
S01XA13,Fibrinogen alpha chain
S01XA13,Urokinase plasminogen activator surface receptor
S01XA13,Plasminogen activator inhibitor 1
V04CD03,Growth hormone-releasing hormone receptor
H01AC04,Growth hormone-releasing hormone receptor
L03AB06,Interferon alpha/beta receptor 1
L03AB06,Interferon alpha/beta receptor 2
B03XA02,Erythropoietin receptor
B01AD04,Plasminogen
B01AD04,Urokinase plasminogen activator surface receptor
B01AD04,Plasminogen activator inhibitor 1
B01AD04,Plasminogen activator inhibitor 2
B01AD04,Plasma serine protease inhibitor
B01AD04,Low-density lipoprotein receptor-related protein 2
B01AD04,Suppressor of tumorigenicity 14 protein
B01AD04,Nidogen-1
L02AE03,Lutropin-choriogonadotropic hormone receptor
L02AE03,Gonadotropin-releasing hormone receptor
B01AD07,Plasminogen
B01AD07,Fibrinogen alpha chain
B01AD07,Plasminogen activator inhibitor 1
B03XA01,Erythropoietin receptor
H05BA01,Calcitonin receptor
L03AA13,Granulocyte colony-stimulating factor receptor
