drugid,target
DB00001,Prothrombin
BTD00024,Prothrombin
BIOD00024,Prothrombin
DB00002,Epidermal growth factor receptor
DB00002,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00002,Complement C1q subcomponent subunit A
DB00002,Complement C1q subcomponent subunit B
DB00002,Complement C1q subcomponent subunit C
DB00002,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00002,High affinity immunoglobulin gamma Fc receptor I
DB00002,Low affinity immunoglobulin gamma Fc region receptor II-a
BTD00071,Epidermal growth factor receptor
BTD00071,Low affinity immunoglobulin gamma Fc region receptor III-B
BTD00071,Complement C1q subcomponent subunit A
BTD00071,Complement C1q subcomponent subunit B
BTD00071,Complement C1q subcomponent subunit C
BTD00071,Low affinity immunoglobulin gamma Fc region receptor III-A
BTD00071,High affinity immunoglobulin gamma Fc receptor I
BTD00071,Low affinity immunoglobulin gamma Fc region receptor II-a
BIOD00071,Epidermal growth factor receptor
BIOD00071,Low affinity immunoglobulin gamma Fc region receptor III-B
BIOD00071,Complement C1q subcomponent subunit A
BIOD00071,Complement C1q subcomponent subunit B
BIOD00071,Complement C1q subcomponent subunit C
BIOD00071,Low affinity immunoglobulin gamma Fc region receptor III-A
BIOD00071,High affinity immunoglobulin gamma Fc receptor I
BIOD00071,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00003,DNA
BTD00001,DNA
BIOD00001,DNA
DB00004,Interleukin-2 receptor subunit alpha
DB00004,Interleukin-2 receptor subunit beta
DB00004,Cytokine receptor common subunit gamma
BTD00084,Interleukin-2 receptor subunit alpha
BTD00084,Interleukin-2 receptor subunit beta
BTD00084,Cytokine receptor common subunit gamma
BIOD00084,Interleukin-2 receptor subunit alpha
BIOD00084,Interleukin-2 receptor subunit beta
BIOD00084,Cytokine receptor common subunit gamma
DB00005,Tumor necrosis factor
DB00005,High affinity immunoglobulin gamma Fc receptor I
DB00005,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00005,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00005,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00005,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00005,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00005,Lymphotoxin-alpha
DB00005,Complement component 1q (C1q)
BTD00052,Tumor necrosis factor
BTD00052,High affinity immunoglobulin gamma Fc receptor I
BTD00052,Low affinity immunoglobulin gamma Fc region receptor II-a
BTD00052,Low affinity immunoglobulin gamma Fc region receptor II-b
BTD00052,Low affinity immunoglobulin gamma Fc region receptor II-c
BTD00052,Low affinity immunoglobulin gamma Fc region receptor III-A
BTD00052,Low affinity immunoglobulin gamma Fc region receptor III-B
BTD00052,Lymphotoxin-alpha
BTD00052,Complement component 1q (C1q)
BIOD00052,Tumor necrosis factor
BIOD00052,High affinity immunoglobulin gamma Fc receptor I
BIOD00052,Low affinity immunoglobulin gamma Fc region receptor II-a
BIOD00052,Low affinity immunoglobulin gamma Fc region receptor II-b
BIOD00052,Low affinity immunoglobulin gamma Fc region receptor II-c
BIOD00052,Low affinity immunoglobulin gamma Fc region receptor III-A
BIOD00052,Low affinity immunoglobulin gamma Fc region receptor III-B
BIOD00052,Lymphotoxin-alpha
BIOD00052,Complement component 1q (C1q)
DB00006,Prothrombin
BTD00076,Prothrombin
EXPT03302,Prothrombin
BIOD00076,Prothrombin
DB02351,Prothrombin
DB00007,Gonadotropin-releasing hormone receptor
BTD00009,Gonadotropin-releasing hormone receptor
BIOD00009,Gonadotropin-releasing hormone receptor
DB00008,Interferon alpha/beta receptor 2
DB00008,Interferon alpha/beta receptor 1
BTD00043,Interferon alpha/beta receptor 2
BTD00043,Interferon alpha/beta receptor 1
BIOD00043,Interferon alpha/beta receptor 2
BIOD00043,Interferon alpha/beta receptor 1
DB00009,Plasminogen
DB00009,Fibrinogen alpha chain
DB00009,Urokinase plasminogen activator surface receptor
DB00009,Plasminogen activator inhibitor 1
BTD00050,Plasminogen
BTD00050,Fibrinogen alpha chain
BTD00050,Urokinase plasminogen activator surface receptor
BTD00050,Plasminogen activator inhibitor 1
BIOD00050,Plasminogen
BIOD00050,Fibrinogen alpha chain
BIOD00050,Urokinase plasminogen activator surface receptor
BIOD00050,Plasminogen activator inhibitor 1
DB00010,Growth hormone-releasing hormone receptor
BTD00033,Growth hormone-releasing hormone receptor
BIOD00033,Growth hormone-releasing hormone receptor
DB00011,Interferon alpha/beta receptor 1
DB00011,Interferon alpha/beta receptor 2
BTD00096,Interferon alpha/beta receptor 1
BTD00096,Interferon alpha/beta receptor 2
BIOD00096,Interferon alpha/beta receptor 1
BIOD00096,Interferon alpha/beta receptor 2
DB00084,Interferon alpha/beta receptor 1
DB00084,Interferon alpha/beta receptor 2
DB00012,Erythropoietin receptor
BTD00032,Erythropoietin receptor
BIOD00032,Erythropoietin receptor
DB00013,Plasminogen
DB00013,Urokinase plasminogen activator surface receptor
DB00013,Plasminogen activator inhibitor 1
DB00013,Plasminogen activator inhibitor 2
DB00013,Plasma serine protease inhibitor
DB00013,Low-density lipoprotein receptor-related protein 2
DB00013,Suppressor of tumorigenicity 14 protein
DB00013,Nidogen-1
BTD00030,Plasminogen
BTD00030,Urokinase plasminogen activator surface receptor
BTD00030,Plasminogen activator inhibitor 1
BTD00030,Plasminogen activator inhibitor 2
BTD00030,Plasma serine protease inhibitor
BTD00030,Low-density lipoprotein receptor-related protein 2
BTD00030,Suppressor of tumorigenicity 14 protein
BTD00030,Nidogen-1
BIOD00030,Plasminogen
BIOD00030,Urokinase plasminogen activator surface receptor
BIOD00030,Plasminogen activator inhibitor 1
BIOD00030,Plasminogen activator inhibitor 2
BIOD00030,Plasma serine protease inhibitor
BIOD00030,Low-density lipoprotein receptor-related protein 2
BIOD00030,Suppressor of tumorigenicity 14 protein
BIOD00030,Nidogen-1
DB00014,Lutropin-choriogonadotropic hormone receptor
DB00014,Gonadotropin-releasing hormone receptor
BTD00113,Lutropin-choriogonadotropic hormone receptor
BTD00113,Gonadotropin-releasing hormone receptor
BIOD00113,Lutropin-choriogonadotropic hormone receptor
BIOD00113,Gonadotropin-releasing hormone receptor
DB00015,Plasminogen
DB00015,Fibrinogen alpha chain
DB00015,Plasminogen activator inhibitor 1
BTD00013,Plasminogen
BTD00013,Fibrinogen alpha chain
BTD00013,Plasminogen activator inhibitor 1
BIOD00013,Plasminogen
BIOD00013,Fibrinogen alpha chain
BIOD00013,Plasminogen activator inhibitor 1
DB00016,Erythropoietin receptor
BTD00103,Erythropoietin receptor
BIOD00103,Erythropoietin receptor
DB08923,Erythropoietin receptor
DB00017,Calcitonin receptor
BTD00025,Calcitonin receptor
BIOD00025,Calcitonin receptor
DB00018,Interferon alpha/beta receptor 1
DB00018,Interferon alpha/beta receptor 2
BTD00023,Interferon alpha/beta receptor 1
BTD00023,Interferon alpha/beta receptor 2
BIOD00023,Interferon alpha/beta receptor 1
BIOD00023,Interferon alpha/beta receptor 2
DB00019,Granulocyte colony-stimulating factor receptor
BTD00094,Granulocyte colony-stimulating factor receptor
BIOD00094,Granulocyte colony-stimulating factor receptor
DB00020,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
DB00020,Interleukin-3 receptor subunit alpha
DB00020,Cytokine receptor common subunit beta
DB00020,Syndecan-2
DB00020,Bone marrow proteoglycan
